Count	Max_his	Min_his	The_end
1	1.90	-0.00	-0.00
2	93.30	0.60	91.90
3	1.10	-0.10	-0.10
4	94.90	0.90	93.40
5	1.00	-0.10	-0.10
6	1.30	-0.10	-0.10
7	2.90	-0.40	-0.40
8	79.20	0.60	78.40
9	96.70	0.90	95.50
10	83.20	0.00	82.00
11	70.70	0.70	70.30
12	99.20	0.10	98.90
13	1.00	-0.20	-0.20
14	57.70	0.10	56.10
15	1.00	-0.20	-0.20
16	2.00	-0.10	-0.10
17	71.60	0.30	71.60
18	79.90	0.30	79.80
19	53.90	0.40	53.00
20	85.20	1.00	84.30
21	70.70	0.30	70.70
22	83.90	0.80	81.50
23	118.70	1.00	118.00
24	1.00	-0.50	-0.50
25	1.90	-0.00	-0.00
26	1.00	-0.10	-0.10
27	90.40	0.90	88.50
28	58.90	0.80	58.30
29	92.00	0.40	91.90
30	1.60	-0.00	-0.00
31	62.60	0.30	61.50
32	76.10	0.30	76.00
33	74.80	0.10	74.20
34	105.20	0.80	103.80
35	3.30	-0.00	-0.00
36	94.70	0.90	94.00
37	99.30	0.90	98.90
38	95.10	0.60	92.20
39	49.70	0.80	49.40
40	80.50	0.50	80.30
41	1.90	-0.10	-0.10
42	132.50	0.60	131.60
43	112.40	0.60	111.60
44	1.00	-0.30	-0.30
45	1.00	-0.10	-0.10
46	1.90	-0.20	-0.20
47	80.00	0.00	78.90
48	94.00	0.20	93.80
49	1.00	-0.10	-0.10
50	1.00	-0.50	-0.50
51	91.60	1.00	88.40
52	57.50	0.70	57.50
53	84.50	0.30	84.50
54	56.00	0.50	54.60
55	88.00	0.80	87.90
56	72.30	0.60	70.90
57	92.40	0.30	91.90
58	74.60	0.10	73.80
59	2.20	-0.30	-0.30
60	90.30	0.90	89.60
61	1.00	-0.10	-0.10
62	1.10	-0.10	-0.10
63	102.40	0.50	102.20
64	72.60	0.50	70.30
65	70.90	0.10	69.90
66	102.60	0.80	102.50
67	73.90	0.50	71.00
68	3.30	-0.00	-0.00
69	54.30	1.00	54.20
70	1.00	0.00	0.00
71	76.30	0.40	75.60
72	1.00	-0.30	-0.30
73	76.30	0.90	76.30
74	96.10	0.10	95.80
75	1.00	-0.40	-0.40
76	75.20	1.00	71.80
77	1.00	-0.10	-0.10
78	2.00	-0.00	-0.00
79	95.90	0.40	95.40
80	1.70	-0.10	-0.10
81	75.80	1.00	75.80
82	97.80	0.70	97.70
83	1.10	-0.10	-0.10
84	1.00	-0.10	-0.10
85	1.00	-0.10	-0.10
86	1.00	-0.20	-0.20
87	1.70	-0.40	-0.40
88	2.00	-0.40	-0.40
89	1.20	-0.00	-0.00
90	97.30	1.00	97.20
91	2.00	-0.20	-0.20
92	69.20	0.90	67.70
93	1.00	-0.10	-0.10
94	79.30	0.50	78.60
95	1.00	-0.10	-0.10
96	83.00	1.00	83.00
97	1.00	-0.10	-0.10
98	75.50	0.80	73.60
99	1.60	-0.10	-0.10
100	69.90	1.00	69.70
ALL_in_history	132.50	-0.50
ALL_in_the_end	131.60	-0.50
